Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
304,José Miranda,27,MIN,-0.3,12,36,36,2,6,0,0,1,5,0,0,0,13,0.167,0.167,0.25,0.417,13,0.177,-4,9,0,0,0,0,0,5/H,,miranjo01
305,Jacob Stallings,35,BAL,-0.4,14,36,35,1,4,1,0,0,3,0,0,1,9,0.114,0.139,0.143,0.282,-20,0.152,-16,5,4,0,0,0,0,2/H,,stallja01
306,Dominic Fletcher*,27,CHW,0.3,12,34,32,5,7,5,0,1,2,1,0,2,2,0.219,0.265,0.469,0.733,100,0.315,95,15,1,0,0,0,0,/987,,fletcdo01
307,Pablo Reyes,31,NYY,-0.5,24,34,31,4,6,1,0,0,2,1,0,2,10,0.194,0.242,0.226,0.468,32,0.221,24,7,0,0,1,0,0,H/94517D,,reyespa01
308,Sebastián Rivero,26,LAA,0,11,34,33,4,6,2,0,0,2,1,0,1,9,0.182,0.206,0.242,0.448,26,0.252,47,8,0,0,0,0,0,2,,riverse01
309,Amed Rosario,29,NYY,0,16,33,33,1,10,3,0,1,5,0,0,0,9,0.303,0.303,0.485,0.788,114,0.335,115,16,1,0,0,0,0,/59H4,,rosaram01
310,Leo Jiménez,24,TOR,-0.3,18,32,29,2,2,0,0,1,1,0,0,2,8,0.069,0.129,0.172,0.301,-18,0.167,-15,5,1,0,1,0,0,4/H6D,,jimenle01
311,Shay Whitcomb,26,HOU,-0.3,20,32,32,4,4,0,0,1,1,0,0,0,10,0.125,0.125,0.219,0.344,-7,0.171,-6,7,0,0,0,0,0,/45HD7,,whitcsh01
312,Isiah Kiner-Falefa,30,TOR,0,19,31,30,5,7,1,0,1,5,0,0,0,8,0.233,0.258,0.367,0.625,70,0.262,58,11,0,1,0,0,0,4/5H16,,kineris01
313,Carson McCusker,27,MIN,-0.6,16,30,29,0,5,0,0,0,1,0,1,1,16,0.172,0.2,0.172,0.372,5,0.151,-11,5,0,0,0,0,0,9/HD,,mccusca01
314,Scott Kingery,31,LAA,-0.5,19,29,27,3,4,1,0,0,0,1,1,2,11,0.148,0.207,0.185,0.392,12,0.167,-3,5,1,0,0,0,0,/4H8619,,kingesc01
315,Daniel Johnson*,29,BAL,0.1,17,26,24,8,5,1,0,0,0,1,1,2,5,0.208,0.269,0.25,0.519,48,0.255,66,6,0,0,0,0,0,/H798,,johnsda07
316,Michael Stefanic,29,TOR,0,9,25,22,1,4,0,0,0,0,0,0,3,3,0.182,0.28,0.182,0.462,32,0.221,28,4,0,0,0,0,0,/4H16,,stefami01
317,Niko Kavadas*,26,LAA,-0.4,10,23,20,0,2,0,0,0,0,0,0,3,10,0.1,0.217,0.1,0.317,-6,0.167,-10,2,0,0,0,0,0,3/1H,,kavadni01
318,Ali Sánchez,28,2TM,-0.2,12,23,23,2,5,2,0,0,0,0,0,0,6,0.217,0.217,0.304,0.522,42,0.219,27,7,1,0,0,0,0,2/H13,,sanchal04
318,Ali Sánchez,28,TOR,-0.2,8,21,21,2,5,2,0,0,0,0,0,0,5,0.238,0.238,0.333,0.571,56,0.24,42,7,1,0,0,0,0,/213H,,sanchal04
318,Ali Sánchez,28,BOS,0,4,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,-126,0,0,0,0,0,0,/2H,,sanchal04
319,Bobby Dalbec,30,CHW,0,7,21,18,2,4,1,0,0,1,0,0,3,6,0.222,0.333,0.278,0.611,75,0.279,74,5,1,0,0,0,0,/36H5,,dalbebo01
320,Luis Guillorme*,30,HOU,-0.2,12,21,20,2,3,0,0,0,0,0,0,1,8,0.15,0.19,0.15,0.34,-3,0.16,-15,3,2,0,0,0,0,/45H,,guilllu01
321,Billy McKinney*,30,TEX,-0.1,6,21,20,4,4,1,0,0,1,0,0,1,1,0.2,0.238,0.25,0.488,45,0.261,73,5,0,0,0,0,0,/97DH,,mckinbi01
322,Manuel Margot,30,DET,-0.1,6,20,19,1,6,0,0,0,3,0,0,0,6,0.316,0.3,0.316,0.616,72,0.262,60,6,0,0,0,1,0,/9H,,margoma01
323,Akil Baddoo*,26,DET,0.2,7,18,17,0,2,1,0,0,1,1,0,1,5,0.118,0.167,0.176,0.343,-4,0.17,-17,3,0,0,0,0,0,/798H,,baddoak01
324,Blake Sabol*,27,BOS,-0.2,8,18,16,2,2,1,0,0,1,0,0,1,7,0.125,0.167,0.188,0.354,0,0.156,-17,3,1,0,0,1,0,/2DH,,sabolbl01
325,CJ Alexander*,28,ATH,-0.2,6,17,17,0,3,0,0,0,0,0,0,0,8,0.176,0.176,0.176,0.353,-3,0.157,-17,3,0,0,0,0,0,/35H79,,alexacj01
326,César Salazar*,29,HOU,-0.1,11,16,13,0,3,0,0,0,1,0,0,2,2,0.231,0.375,0.231,0.606,75,0.291,81,3,1,1,0,0,0,/2HD1,,salazce01
327,Chadwick Tromp,30,BAL,0.1,6,16,16,2,3,1,0,1,1,0,0,0,4,0.188,0.188,0.438,0.625,68,0.315,102,7,0,0,0,0,0,/2,,trompch01
328,Drew Avans*,29,ATH,-0.3,7,15,15,1,2,0,0,0,0,1,0,0,5,0.133,0.133,0.133,0.267,-27,0.135,-44,2,0,0,0,0,0,/789H,,avansdr01
329,Tucker Barnhart*,34,TEX,0,8,15,13,0,3,0,0,0,0,0,0,1,4,0.231,0.333,0.231,0.564,72,0.271,81,3,2,1,0,0,0,/21,,barnhtu01
330,Greg Allen#,32,BAL,-0.4,7,14,14,1,0,0,0,0,0,0,1,0,5,0,0,0,0,-100,-0.035,-127,0,2,0,0,0,0,/87H,,allengr01
331,Chad Stevens,26,LAA,-0.2,5,14,13,1,2,0,0,0,0,0,1,0,7,0.154,0.154,0.154,0.308,-13,0.099,-41,2,0,0,1,0,0,/45,,stevech02
