Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
160,Jakob Marsee*,24,MIA,1.9,55,234,209,28,61,18,3,5,33,14,6,22,48,0.292,0.363,0.478,0.842,133,0.365,130,100,2,2,0,1,0,87/9H,ROY-8,marseja01
161,Dominic Smith*,30,SFG,0.4,63,225,204,26,58,12,0,5,33,2,0,15,42,0.284,0.333,0.417,0.75,113,0.329,112,85,5,2,0,4,0,3/HD9,,smithdo02
162,Tim Tawa,26,ARI,0.5,74,225,199,29,40,8,0,7,18,8,2,20,64,0.201,0.274,0.347,0.62,70,0.284,70,69,6,1,2,3,0,4387H/59,,tawati01
163,Jake McCarthy*,27,ARI,-0.7,67,222,206,18,42,7,5,4,20,6,0,10,40,0.204,0.247,0.345,0.591,61,0.271,59,71,2,2,3,1,0,789/HD,,mccarja02
164,Jake Bauers*,29,MIL,0.7,85,218,183,28,43,9,0,7,28,8,1,32,59,0.235,0.353,0.399,0.752,110,0.34,111,73,1,2,0,1,1,3H7/D19,,bauerja01
165,Otto Kemp,25,PHI,-0.2,62,218,197,26,46,11,0,8,28,2,2,12,67,0.234,0.298,0.411,0.709,93,0.314,93,81,4,7,0,2,0,537/H4,,kempot01
166,Jake Fraley*,30,2TM,0.3,76,217,191,31,46,9,0,6,23,4,3,25,49,0.241,0.332,0.382,0.714,96,0.323,99,73,1,1,0,0,1,9H/7D,,fraleja01
166,Jake Fraley*,30,CIN,0.4,67,193,168,29,39,8,0,6,23,4,2,24,41,0.232,0.332,0.387,0.719,97,0.324,96,65,1,1,0,0,1,9H/7D,,fraleja01
166,Jake Fraley*,30,ATL,0,9,24,23,2,7,1,0,0,0,0,1,1,8,0.304,0.333,0.348,0.681,93,0.319,117,8,0,0,0,0,0,/9H7D,,fraleja01
167,Orlando Arcia,30,2TM,-1.2,76,214,203,13,41,7,1,3,13,0,1,10,47,0.202,0.238,0.291,0.529,42,0.243,39,59,4,0,0,1,0,6453/HD,,arciaor01
167,Orlando Arcia,30,ATL,-0.1,14,32,31,1,6,1,0,0,1,0,0,1,8,0.194,0.219,0.226,0.445,26,0.23,39,7,0,0,0,0,0,6/DH,,arciaor01
167,Orlando Arcia,30,COL,-1.1,62,182,172,12,35,6,1,3,12,0,1,9,39,0.203,0.242,0.302,0.544,45,0.245,39,52,4,0,0,1,0,4563/HD,,arciaor01
168,Alex Verdugo*,29,ATL,-0.3,56,213,197,21,47,10,0,0,12,1,0,14,31,0.239,0.296,0.289,0.585,67,0.269,66,57,1,2,0,0,0,7/H,,verdual01
169,Nacho Alvarez Jr.,22,ATL,0.8,58,208,188,18,44,12,0,2,15,0,0,12,49,0.234,0.296,0.33,0.626,77,0.28,74,62,1,5,2,1,0,5/H,,alvarna01
170,Paul DeJong,31,WSN,-0.1,57,208,193,18,44,10,0,6,23,4,0,11,70,0.228,0.269,0.373,0.642,81,0.283,75,72,3,1,0,3,0,546/D3H,,dejonpa01
171,Ryan Ritter,24,COL,0.3,60,207,187,22,45,9,3,1,18,3,1,10,61,0.241,0.296,0.337,0.632,69,0.29,67,63,7,5,4,1,0,64/H,,rittery01
172,Robert Hassell III*,23,WSN,-0.1,70,206,197,22,44,9,0,3,18,4,0,8,62,0.223,0.257,0.315,0.572,62,0.266,64,62,4,1,0,0,0,89H/7D,,hassero02
173,José Herrera#,28,ARI,0,57,204,166,21,31,6,0,2,17,0,0,23,47,0.187,0.285,0.259,0.544,52,0.254,49,43,2,1,11,3,0,02월 01일,,herrejo04
174,Ramón Laureano,30,SDP,0.8,50,198,182,27,49,9,2,9,30,3,1,13,47,0.269,0.323,0.489,0.812,122,0.348,118,89,4,2,0,1,0,78/9HD,,laurera01
175,Harrison Bader,31,PHI,1.3,50,194,177,30,54,11,1,5,16,1,3,12,55,0.305,0.361,0.463,0.824,125,0.351,122,82,2,4,0,1,0,8/H,,baderha01
176,Luisangel Acuña,23,NYM,0.6,95,193,175,30,41,7,0,0,8,16,1,13,37,0.234,0.293,0.274,0.567,63,0.273,59,48,6,2,2,1,0,4H/658,,acunajo01
177,Christian Koss,27,SFG,1.8,74,191,174,25,46,9,0,3,23,4,1,9,45,0.264,0.309,0.368,0.676,93,0.317,103,64,4,3,3,2,0,4H5/61D,,kossch01
178,Justin Turner,40,CHC,-0.1,80,191,169,14,37,7,0,3,18,2,0,17,37,0.219,0.288,0.314,0.602,76,0.282,81,53,3,1,0,4,0,3HD5,,turneju01
179,Randal Grichuk,33,ARI,-0.4,70,188,175,25,42,15,1,7,22,0,1,10,39,0.24,0.277,0.457,0.734,98,0.317,98,80,5,0,0,3,1,DH9/78,,grichra01
180,Luis Matos,23,SFG,-0.2,57,184,172,26,38,9,1,8,22,4,0,11,27,0.221,0.266,0.424,0.691,94,0.306,93,73,5,0,0,1,0,97/8HD,,matoslu02
181,Ronny Mauricio#,24,NYM,0.7,61,184,168,19,38,6,0,6,10,4,0,15,54,0.226,0.293,0.369,0.663,87,0.303,89,62,5,1,0,0,1,5H/46D,,mauriro01
182,Graham Pauley*,24,MIA,0.7,62,184,161,18,36,9,1,4,11,2,0,21,36,0.224,0.311,0.366,0.678,89,0.303,85,59,1,0,1,1,0,5/438,,paulegr01
183,Ryan O'Hearn*,31,SDP,0.4,50,183,163,22,45,6,0,4,20,0,0,16,46,0.276,0.35,0.387,0.736,105,0.332,107,63,1,3,0,1,1,3D/H9,AS,ohearry01
184,Jack Suwinski*,26,PIT,-0.3,59,178,150,15,22,7,0,3,10,7,1,24,57,0.147,0.281,0.253,0.534,50,0.258,51,38,1,4,0,0,1,879/HD,,suwinja01
185,Johan Rojas,24,PHI,0.5,71,172,152,23,34,3,2,1,18,12,2,13,40,0.224,0.28,0.289,0.569,58,0.271,53,44,2,0,4,3,0,8H/D,,rojasjo03
186,Blake Perkins#,28,MIL,0.3,54,171,155,25,35,6,2,3,19,7,2,15,47,0.226,0.298,0.348,0.647,80,0.296,81,54,4,1,0,0,0,8/HD,,perkibl01
187,Hyeseong Kim*,26,LAD,1.7,71,170,161,19,45,6,1,3,17,13,1,7,52,0.28,0.314,0.385,0.699,96,0.335,102,62,0,1,1,0,0,4H86,,kimhy02
188,José Tena*,24,WSN,0.3,50,169,152,19,37,13,2,0,16,3,1,15,37,0.243,0.314,0.355,0.669,91,0.297,88,54,4,1,0,1,0,5/4HD,,tenajo01
